PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-05-12,12:06:16.39,1,1,"Naess, Griffin",1000250439,Right,CAL_MUS,"McDaniel, Kyle",823497,Left,DIX_STE,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.19168,-3.030456,-2.681126,2281.145231,219.865308,1:15,6.35314,2.20627,5.57958,-19.50812,19.07363,14.77076,1.89137,0.93125,78.08837,-6.716705,-0.047621,0.447057,,,,,,,,,,,,-8.30583,10.98989,-1.98542,50,6.07956,5.21194,-124.7415,-7.19845,-12.94835,27.57832,-15.04142,CAL_MUS,DIX_STE,BaggettStadium,D1,BW,20240512-BaggettStadium-1,b5a12040-1092-11ef-b5cd-636831d85438,84.31247,,,8.10331,,,,,,,0efa5f9f-d054-4b31-a6e4-f04511ea6a6c,2024-05-12,19:06:16.39,2024-05-12T12:06:16.3972348-07:00,2024-05-12T19:06:16.3972348Z,,v3,471251,526275,12 May 2024 15:00-utah-tech@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,a997b800-29cd-4462-8cee-dd51ab806c7f,54.91971,-125.82447,13.78916,6.35064,-6.60779,-7.52071,-2.20007,5.7204,-6.47418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-05-12,12:06:34.34,1,2,"Naess, Griffin",1000250439,Right,CAL_MUS,"McDaniel, Kyle",823497,Left,DIX_STE,Undefined,1,Top,0,1,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,74.75797,2.349789,-0.533455,2627.497661,29.938048,7:00,6.35167,2.01773,5.0615,-66.06216,-14.03292,-9.07662,3.0637,0.75828,68.33263,-9.566334,-2.14064,0.519153,,,,,,,,,,,,4.30697,-7.06071,-1.95959,50,6.52278,1.3723,-108.40184,2.11858,5.07416,20.69988,-40.49251,CAL_MUS,DIX_STE,BaggettStadium,D1,BW,20240512-BaggettStadium-1,c05f10a0-1092-11ef-b5cd-636831d85438,72.60374,,,6.42534,,,,,,,0efa5f9f-d054-4b31-a6e4-f04511ea6a6c,2024-05-12,19:06:34.34,2024-05-12T12:06:34.3496956-07:00,2024-05-12T19:06:34.3496956Z,,v3,471251,526275,12 May 2024 15:00-utah-tech@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,a995bb05-2da2-4383-85d4-eb4df3220a65,55.44245,-109.43617,10.34994,6.36637,4.14191,-20.24625,-2.02182,1.11876,2.53708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-05-12,12:06:51.04,1,3,"Naess, Griffin",1000250439,Right,CAL_MUS,"McDaniel, Kyle",823497,Left,DIX_STE,Undefined,1,Top,0,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,77.89788,-0.582928,-0.490881,2146.793928,255.955406,2:30,6.28637,1.9642,5.58153,-39.36195,8.33304,25.94576,2.46176,3.66789,70.02994,-7.874022,4.144317,0.497059,,,,,,,,,,,,-13.1602,4.9902,-1.9387,50,6.21126,-0.07049,-112.85532,-2.39063,-16.53294,25.49526,-25.90495,CAL_MUS,DIX_STE,BaggettStadium,D1,BW,20240512-BaggettStadium-1,ca403590-1092-11ef-b5cd-636831d85438,75.83094,,,7.86794,,,,,,,0efa5f9f-d054-4b31-a6e4-f04511ea6a6c,2024-05-12,19:06:51.04,2024-05-12T12:06:51.0407420-07:00,2024-05-12T19:06:51.0407420Z,,v3,471251,526275,12 May 2024 15:00-utah-tech@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,2a874519-5cbe-41a3-92dc-98d2e10d03bd,54.91602,-113.96049,12.74763,6.29055,-1.2677,-12.95247,-1.95118,0.64618,-8.26647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-05-12,12:07:07.36,1,4,"Naess, Griffin",1000250439,Right,CAL_MUS,"McDaniel, Kyle",823497,Left,DIX_STE,Undefined,1,Top,0,2,1,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Single,0,0,,77.91684,-0.998442,-2.654557,2246.251502,252.384102,2:30,6.26933,2.07923,5.52672,-38.06514,9.31355,23.8934,2.16271,1.58686,70.58174,-8.02988,1.607526,0.495408,57.59343,-16.024859,5.239671,,,,,9.79051,9.37397,-5.15897,0.095743,-13.00701,5.49827,-1.86506,50,6.15721,4.31829,-112.89852,-3.16733,-16.52097,23.60202,-25.19039,CAL_MUS,DIX_STE,BaggettStadium,D1,BW,20240512-BaggettStadium-1,d3fb8300-1092-11ef-b5cd-636831d85438,76.08365,2.2435,,7.33509,,,,2.09923,2.2435,-1.58294,0efa5f9f-d054-4b31-a6e4-f04511ea6a6c,2024-05-12,19:07:07.36,2024-05-12T12:07:07.3635068-07:00,2024-05-12T19:07:07.3635068Z,GroundBall,v3,471251,526275,12 May 2024 15:00-utah-tech@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,0c780358-8be4-4746-9b23-964e5ad70c13,54.97452,-113.93373,11.80101,6.2719,-2.06246,-12.5952,-2.07035,5.04291,-8.26049,180.467112,2.0993,80.83866,-9.63005,,,,,,,2.24343,-23.3085,-1.27988,,,,,,,-1.58294,7.41346,-0.78713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2024-05-12,12:07:52.18,2,1,"Naess, Griffin",1000250439,Right,CAL_MUS,"Katschke, Hunter",701772,Right,DIX_STE,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,Bunt,Single,0,0,,86.27073,-2.708368,-2.929056,2171.358135,213.47945,1:00,6.511,1.94265,5.68314,-17.6082,20.91552,12.88355,2.51384,0.28355,77.74854,-6.07913,-0.629091,0.44672,34.69451,-9.370666,-40.442576,,,,,14.43524,14.43524,-31.301364,0.218096,-7.53965,11.93642,-1.70423,50,6.27192,5.85122,-124.83898,-6.40965,-11.71066,28.83269,-13.63429,CAL_MUS,DIX_STE,BaggettStadium,D1,BW,20240512-BaggettStadium-1,eeb2ce60-1092-11ef-b5cd-636831d85438,84.37597,2.53823,,8.52219,,,,4.15573,2.53823,-0.26175,0efa5f9f-d054-4b31-a6e4-f04511ea6a6c,2024-05-12,19:07:52.18,2024-05-12T12:07:52.1800444-07:00,2024-05-12T19:07:52.1800444Z,GroundBall,v3,471251,526275,12 May 2024 15:00-utah-tech@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,7109a0b2-8053-4d36-8efb-633133d88039,54.81652,-125.94649,14.41635,6.50806,-5.88594,-6.81715,-1.93762,6.30104,-5.85533,89.598716,4.1556,38.21735,-3.28755,,,,,,,2.53833,-8.29123,-15.35026,,,,,,,-0.2618,-32.56496,-2.8494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2024-05-12,12:08:37.36,3,1,"Naess, Griffin",1000250439,Right,CAL_MUS,"Dodson, Hank",823520,Right,DIX_STE,Undefined,1,Top,0,0,0,ChangeUp,Changeup,InPlay,Undefined,Bunt,Sacrifice,1,0,,76.61441,-0.737437,-2.590572,2019.394965,252.433511,2:30,6.44054,2.00054,5.79004,-39.60242,9.33611,23.44867,2.45357,1.54296,68.83063,-8.112491,1.612706,0.503497,24.11049,2.933175,-36.627751,1238.812334,,,,22.69119,22.35363,-34.269455,0.528869,-12.98749,5.51918,-1.80183,50,6.3562,4.16458,-110.97519,-2.59915,-15.77939,24.62377,-25.46843,CAL_MUS,DIX_STE,BaggettStadium,D1,BW,20240512-BaggettStadium-1,09a12f50-1093-11ef-b5cd-636831d85438,74.8613,3.02127,,7.78378,,,,3.98245,2.96437,-1.64226,0efa5f9f-d054-4b31-a6e4-f04511ea6a6c,2024-05-12,19:08:37.36,2024-05-12T12:08:37.3681404-07:00,2024-05-12T19:08:37.3681404Z,GroundBall,v3,471251,526275,12 May 2024 15:00-utah-tech@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,0159275a-4005-49ed-88af-798b516ffe97,54.71046,-112.0155,12.31189,6.44328,-1.52316,-12.73422,-1.99185,4.83123,-7.8897,,3.98523,28.27209,-0.67293,,,,,,,2.96604,1.77066,-13.95915,,,,,,,-1.64437,-21.0174,-0.05405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
7,2024-05-12,12:09:24.34,4,1,"Naess, Griffin",1000250439,Right,CAL_MUS,"Perez, Aaron",1000228139,Right,DIX_STE,Undefined,1,Top,1,0,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,76.51783,0.071045,-3.204774,2031.945604,253.021186,2:30,6.41074,2.09645,5.91507,-40.29105,8.66469,22.0169,3.1192,0.9537,68.48405,-7.463691,0.746324,0.503585,,,,,,,,,,,,-12.29768,4.99359,-1.85132,50,6.39413,5.36736,-110.74356,-1.04474,-14.87223,24.60228,-26.13504,CAL_MUS,DIX_STE,BaggettStadium,D1,BW,20240512-BaggettStadium-1,25a39850-1093-11ef-b5cd-636831d85438,74.84816,,,8.03379,,,,,,,0efa5f9f-d054-4b31-a6e4-f04511ea6a6c,2024-05-12,19:09:24.34,2024-05-12T12:09:24.3475708-07:00,2024-05-12T19:09:24.3475708Z,,v3,471251,526275,12 May 2024 15:00-utah-tech@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,ee1d198f-040b-4fc6-9a24-6483323a9f88,54.58199,-111.75683,12.30114,6.41499,0.03167,-13.06752,-2.08499,5.9799,-7.43612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-05-12,12:09:42.95,4,2,"Naess, Griffin",1000250439,Right,CAL_MUS,"Perez, Aaron",1000228139,Right,DIX_STE,Undefined,1,Top,1,0,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,77.10283,-1.763579,-2.641339,2026.851178,260.280834,2:45,6.33302,1.91094,5.694,-42.46396,5.75402,23.17848,1.14848,1.37908,69.94677,-9.581255,1.510899,0.499777,,,,,,,,,,,,-12.69938,4.00547,-1.70377,50,6.15828,4.28531,-111.69372,-4.75867,-15.74644,23.58388,-27.20752,CAL_MUS,DIX_STE,BaggettStadium,D1,BW,20240512-BaggettStadium-1,30fba5d0-1093-11ef-b5cd-636831d85438,75.41858,,,7.15607,,,,,,,0efa5f9f-d054-4b31-a6e4-f04511ea6a6c,2024-05-12,19:09:42.95,2024-05-12T12:09:42.9583100-07:00,2024-05-12T19:09:42.9583100Z,,v3,471251,526275,12 May 2024 15:00-utah-tech@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,66286a01-4bf9-4983-8633-99e728829c6b,54.80697,-112.70413,11.79194,6.33719,-3.59302,-13.60376,-1.90181,4.95993,-7.87322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-05-12,12:10:01.69,4,3,"Naess, Griffin",1000250439,Right,CAL_MUS,"Perez, Aaron",1000228139,Right,DIX_STE,Undefined,1,Top,1,0,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,77.39967,-0.882563,-1.943643,2040.313877,255.001168,2:30,6.3758,2.00122,5.46586,-39.89699,8.07371,23.78832,2.22448,2.16373,70.35393,-8.223697,2.297665,0.498493,,,,,,,,,,,,-12.58969,4.84662,-1.84685,50,6.27111,2.8807,-112.21216,-3.00548,-15.8412,22.7959,-26.07569,CAL_MUS,DIX_STE,BaggettStadium,D1,BW,20240512-BaggettStadium-1,3bfb8130-1093-11ef-b5cd-636831d85438,75.61273,,,7.04574,,,,,,,0efa5f9f-d054-4b31-a6e4-f04511ea6a6c,2024-05-12,19:10:01.69,2024-05-12T12:10:01.6941308-07:00,2024-05-12T19:10:01.6941308Z,,v3,471251,526275,12 May 2024 15:00-utah-tech@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,ffa72f51-9ee9-441b-b36c-180802264b7d,55.0347,-113.23034,11.39795,6.37934,-1.8408,-13.03784,-1.99132,3.58824,-7.9206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-05-12,12:10:21.52,4,4,"Naess, Griffin",1000250439,Right,CAL_MUS,"Perez, Aaron",1000228139,Right,DIX_STE,Undefined,1,Top,1,1,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,77.56468,-0.614194,-2.23085,2025.615049,257.355823,2:30,6.27351,2.24968,5.70809,-40.24423,7.23831,24.57466,2.34711,2.21799,70.25618,-8.061408,2.169173,0.49595,,,,,,,,,,,,-13.19946,4.38567,-2.07814,50,6.19732,3.44303,-112.45361,-2.45266,-16.62056,23.56221,-26.65169,CAL_MUS,DIX_STE,BaggettStadium,D1,BW,20240512-BaggettStadium-1,47b9ca90-1093-11ef-b5cd-636831d85438,76.00041,,,7.30849,,,,,,,0efa5f9f-d054-4b31-a6e4-f04511ea6a6c,2024-05-12,19:10:21.52,2024-05-12T12:10:21.5296764-07:00,2024-05-12T19:10:21.5296764Z,,v3,471251,526275,12 May 2024 15:00-utah-tech@calpoly,"Stafford, Ryan",701696,Right,CAL_MUS,1ceccd4e-6b48-4082-b2b4-d44028d53db4,54.79234,-113.4533,11.78111,6.2774,-1.32189,-13.32584,-2.23918,4.1482,-8.31028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
